age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,capital-gains,capital-loss,incident_date,accident_type,collision_type,incident_severity,authorities_contacted,state,city,property_damage,bodily_injuries,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
29,687698,OH,100/300,2000,1413.14,5000000,FEMALE,35100,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,NO,2,NO,34650,7700,3850,23100,Dodge,RAM,2007
44,367455,IL,500/1000,1000,1583.91,6000000,MALE,66000,-46000,2015-02-17,Vehicle Theft,?,Minor Damage,,NY,Arlington,NO,0,NO,6500,1300,650,4550,Accura,RSX,2009
34,413978,IN,250/500,1000,1333.35,0,MALE,0,-77000,2015-01-13,Multi-vehicle Collision,Front Collision,Minor Damage,Police,NY,Springfield,?,0,?,78650,21450,7150,50050,Nissan,Pathfinder,2012
37,429027,IL,100/300,1000,1137.03,0,MALE,0,0,2015-02-27,Multi-vehicle Collision,Front Collision,Total Loss,Police,VA,Columbus,?,2,YES,51590,9380,9380,32830,Audi,A5,2015
33,485665,IL,100/300,500,1442.99,0,FEMALE,0,0,2015-01-30,Single Vehicle Collision,Front Collision,Total Loss,Police,WV,Arlington,NO,1,YES,27700,2770,2770,22160,Toyota,Camry,2012
42,636550,IL,100/300,500,1315.68,0,MALE,0,-39300,2015-01-05,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Hillsdale,NO,2,?,42300,4700,4700,32900,Saab,92x,1996
42,543610,OH,100/300,500,1253.12,4000000,FEMALE,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,YES,2,?,87010,7910,15820,63280,Ford,F150,2002
61,214618,OH,100/300,2000,1137.16,0,FEMALE,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Springfield,YES,1,YES,114920,17680,17680,79560,Audi,A3,2006
23,842643,OH,500/1000,500,1215.36,3000000,MALE,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,YES,1,NO,56520,4710,9420,42390,Saab,95,2000
34,626808,OH,100/300,1000,936.61,0,FEMALE,52800,-32800,2015-01-08,Parked Car,?,Minor Damage,,SC,Springfield,NO,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010
26,558938,OH,500/1000,1000,1199.44,5000000,MALE,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,?,1,YES,52110,5790,5790,40530,Nissan,Maxima,2012
31,275265,IN,500/1000,500,708.64,6000000,MALE,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,NO,0,YES,77880,14160,7080,56640,Suburu,Legacy,2015
37,921202,OH,500/1000,500,1374.22,0,FEMALE,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,YES,1,NO,72930,6630,13260,53040,Accura,TL,2015
39,143972,IN,500/1000,2000,1475.73,0,FEMALE,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,?,2,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014
62,183430,IN,250/500,1000,1187.96,4000000,MALE,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,NO,1,?,47160,0,5240,41920,Suburu,Impreza,2011
41,431876,IL,500/1000,2000,875.15,0,FEMALE,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,?,1,?,37840,0,4730,33110,Accura,RSX,1996
40,736882,IN,100/300,1000,883.31,0,MALE,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,NO,1,NO,77880,7080,14160,56640,Ford,Escape,2005
43,863236,IN,100/300,2000,1322.1,0,MALE,0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,PA,Arlington,YES,1,YES,9020,1640,820,6560,Toyota,Camry,2005
40,914088,OH,100/300,2000,1291.7,0,FEMALE,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,NO,1,YES,69840,7760,15520,46560,Dodge,Neon,2009
45,596785,IL,500/1000,2000,1104.5,0,FEMALE,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,NO,2,NO,91650,14100,14100,63450,Accura,TL,2011
25,908616,IL,250/500,1000,954.16,0,MALE,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,NO,0,?,75600,12600,12600,50400,Toyota,Corolla,2005
35,336614,IL,500/1000,1000,1088.34,0,FEMALE,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,YES,2,NO,29790,3310,3310,23170,BMW,3 Series,2008
30,584859,IL,100/300,1000,1558.29,0,MALE,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,NO,1,?,77110,14020,14020,49070,Suburu,Impreza,2015
37,990493,IL,500/1000,500,1415.68,0,MALE,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,YES,0,YES,64800,10800,5400,48600,Audi,A3,1999
49,933293,IL,500/1000,2000,1222.48,0,FEMALE,0,0,2015-01-18,Parked Car,?,Minor Damage,,WV,Arlington,NO,1,YES,5330,1230,820,3280,Suburu,Legacy,2001
54,485664,IN,500/1000,2000,1155.55,0,FEMALE,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,?,2,?,62300,12460,6230,43610,Jeep,Wrangler,2007
26,206213,IL,100/300,500,1451.62,0,MALE,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,NO,2,?,40000,8000,4000,28000,BMW,M5,2010
23,448961,IL,500/1000,500,1475.93,0,FEMALE,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,YES,1,NO,51660,5740,5740,40180,Dodge,RAM,2010
30,790442,OH,250/500,500,538.17,0,FEMALE,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,NO,2,NO,51120,5680,5680,39760,Mercedes,E400,2005
44,108844,IL,100/300,2000,1081.08,0,MALE,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,YES,0,?,56400,11280,11280,33840,Toyota,Highlander,2014
40,430029,IL,250/500,1000,1454.43,0,FEMALE,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,NO,2,?,55120,6890,0,48230,Accura,MDX,2002
33,529112,IN,100/300,500,1240.47,0,FEMALE,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,YES,1,?,77110,0,14020,63090,Honda,Civic,2014
34,866931,IN,500/1000,1000,1123.87,8000000,FEMALE,0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,NY,Arlington,?,2,YES,7290,810,810,5670,Volkswagen,Passat,1995
35,582011,IL,100/300,1000,1245.89,0,FEMALE,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,NO,0,?,76600,15320,7660,53620,Mercedes,C300,2000
59,691189,OH,250/500,2000,1326.62,7000000,MALE,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,?,0,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998
27,537546,IL,100/300,2000,1073.83,0,FEMALE,0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,,NY,Arlington,?,1,?,7260,1320,660,5280,BMW,M5,2008
39,394975,IN,100/300,1000,1530.52,0,MALE,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,,WV,Northbend,?,2,YES,4300,430,430,3440,Toyota,Corolla,2000
